
Symbol,"Record Date",Action,"Dividend Amount",Ex-Date,"Payment Date"
CHL,2017-02-27,,.135000,2017-02-23,2017-03-21
JETCON,2017-02-24,,.070000,2017-02-22,2017-03-15
EPLY,2017-02-24,,.260000,2017-02-22,2017-03-10
ProvenJA,2017-02-23,,.191400,2017-02-21,2017-03-10
Proven,2017-02-23,,.000000,2017-02-21,2017-03-10
Proven,2017-02-23,,.001500,2017-02-21,2017-03-10
ProvenJA,2017-02-23,,.190000,2017-02-21,2017-03-10
MDS,2017-02-21,,.050000,2017-02-17,2017-03-08
EPLYSTP,2017-02-20,,.050600,2017-02-16,2017-02-28
JMMB7.5,2017-02-20,,.015400,2017-02-16,2017-02-28
JMMB7.25,2017-02-20,,.015400,2017-02-16,2017-02-28
EPLY9.5,2017-02-20,,.043700,2017-02-16,2017-02-28
EPLY8.25,2017-02-20,,.038000,2017-02-16,2017-02-28
JMMB7.5,2017-02-20,,.012700,2017-02-16,2017-02-28
CAR,2017-02-17,,2.200000,2017-02-15,2017-03-15
JAMT,2017-02-17,,.060000,2017-02-15,2017-03-07
BIL,2017-02-10,,.110000,2017-02-08,2017-02-23
NCBJ,2017-02-10,,.600000,2017-02-08,2017-02-24
AFS,2017-02-10,,.150000,2017-02-08,2017-02-24
JMMBGL7.25,2017-01-30,,.009200,2017-01-26,2017-02-14
JMMBGL7.50,2017-01-30,,.006400,2017-01-26,2017-02-14
JMMB7.25,2017-01-30,,.009200,2017-01-16,2017-02-14
PULS,2017-01-23,,.080000,2017-01-19,2017-02-21
EPLY9.5,2017-01-20,,.048400,2017-01-18,2017-01-31
EPLYSTP,2017-01-20,,.056100,2017-01-18,2017-01-31
EPLY8.25,2017-01-20,,.042000,2017-01-18,2017-01-31
JMMB7.5,2017-01-20,,.012700,2017-01-18,2017-01-31
JMMB7.25,2017-01-20,,.015400,2017-01-18,2017-01-31
PAL,2017-01-09,,1.000000,2017-01-05,2017-01-17
HONBUN,2017-01-09,,.020000,2017-01-05,2017-01-16
PJAM,2017-01-06,,.200000,2017-01-04,2017-01-20
