Date,Open,High,Low,Close,Volume
2006-04-28,5.5,5.7,5.2,5.7,9000
2006-05-01,5.7,5.21,5.01,5.06,17345
2006-05-02,5.06,5.1,5.08,5.1,5200
2006-05-03,5.1,5.45,5,5.1,119490
2006-05-04,5.1,5.7,5,5.7,258215
2006-05-05,5.7,5.6,5.08,5.6,38700
2006-05-08,5.6,5.6,5.06,5.06,12000
2006-05-09,5.06,5.06,5.05,5.05,61400
2006-05-10,5.05,5.01,5,5.01,35290
2006-05-11,5.01,5.5,5,5.5,17200
2006-05-12,5.5,5.51,5.4,5.51,25074
2006-05-15,5.51,5.25,5.1,5.1,28462
2006-05-16,5.1,5.1,5,5,327364
2006-05-17,5,5,4.75,4.75,49756
2006-05-18,4.75,5,4.65,4.69,124079
2006-05-19,4.69,5.1,4.69,5.1,3538
2006-05-22,5.1,5.1,4.8,4.8,6425
2006-05-24,4.8,5,4.8,5,31845
2006-05-25,5,5,5,5,23673
2006-05-26,5,5,4.8,5,109825
2006-05-29,5,5.1,5.1,5.1,8631
2006-05-30,5.1,5.1,5.1,5.1,2000
2006-05-31,5.1,5.1,4.5,5.1,413021
2006-06-01,5.1,4.5,4.34,4.34,61070
2006-06-02,4.34,4.15,4,4,399929
2006-06-05,4,4.5,4,4.5,16000
2006-06-06,4.5,4.5,3.86,3.86,384763
2006-06-07,3.86,3.8,3.8,3.8,2000
2006-06-08,3.8,4.01,3.87,4,3927881
2006-06-09,4,4.5,4.01,4.5,19505
2006-06-12,4.5,4.99,4.5,4.99,11022
2006-06-13,4.99,4.51,4.26,4.27,82346
2006-06-14,4.27,4.5,4.2,4.25,125996
2006-06-15,4.25,4.27,4.27,4.27,5061
2006-06-19,4.27,4.28,4.26,4.26,60823
2006-06-20,4.26,4.5,4.26,4.5,11000
2006-06-21,4.5,4.49,4.49,4.49,2800
2006-06-22,4.49,4.5,4.48,4.48,4700
2006-06-23,4.48,4.35,4.35,4.35,3206
2006-06-26,4.35,4.27,4.21,4.21,39375
2006-06-27,4.21,4.22,4.21,4.22,16036
2006-06-28,4.22,4.49,4.49,4.49,4287
2006-06-29,4.49,4.3,4.21,4.21,25999
2006-06-30,4.21,4.49,4.45,4.49,59915
2006-07-04,4.49,4.48,4.22,4.48,20500
2006-07-05,4.48,4.21,4.2,4.2,31000
2006-07-06,4.2,4.2,3.85,3.85,31163
2006-07-07,3.85,4.48,3.9,4,26558
2006-07-10,4,4,4,4,1825
2006-07-11,4,4.02,4,4,60442
2006-07-12,4,4.18,4.09,4.18,15936
2006-07-13,4.18,4.1,4.08,4.09,12753
2006-07-14,4.09,4.1,4,4.1,75629
2006-07-17,4.1,4.1,4,4,51000
2006-07-18,4,4.1,4.02,4.1,22435
2006-07-20,4.1,4.05,4.05,4.05,2100
2006-07-21,4.05,4.49,4.1,4.49,279150
2006-07-24,4.49,4.5,4.49,4.5,73462
2006-07-25,4.5,5,4.2,5,28558
2006-07-26,5,5,4.5,4.5,8832
2006-07-27,4.5,4.8,4.21,4.8,45861
2006-07-28,4.8,5.3,4.8,5,64776
2006-07-31,5,5,4.8,5,21421
2006-08-02,5,5,4.5,4.5,224017
2006-08-03,4.5,4.5,4.2,4.2,25967
2006-08-04,4.2,4.22,4.15,4.22,44080
2006-08-08,4.22,4.22,4.11,4.22,74655
2006-08-09,4.22,4.25,4.1,4.22,95341
2006-08-10,4.22,4.35,4.25,4.35,57015
2006-08-11,4.35,4.5,4.35,4.5,8982
2006-08-14,4.5,4.5,4.5,4.5,882
2006-08-15,4.5,4.26,4.25,4.25,35054
2006-08-16,4.25,4.25,4.22,4.22,54605
2006-08-17,4.22,4.3,4.2,4.2,23255
2006-08-21,4.2,4.25,4.13,4.2,380291
2006-08-22,4.2,4.27,4.25,4.26,13631
2006-08-23,4.26,4.26,4.26,4.26,2000
2006-08-24,4.26,4.3,4.25,4.3,29257
2006-08-25,4.3,4.3,4.3,4.3,65508
2006-08-29,4.3,4.45,4.3,4.45,118937
